,restaurant_id,user_id,is_positive
1067,3,2386,True
1076,3,2499,True
1077,3,2516,True
1079,3,2519,True
1080,3,2557,True
1085,3,2647,True
1088,3,2786,True
1089,3,2796,True
1091,3,2806,True
1095,3,2943,True
1098,3,3013,True
1099,3,3030,True
1102,3,3108,True
1104,3,3110,True
1106,3,3118,True
1107,3,3120,True
1109,3,3121,True
1113,3,3149,True
1115,3,3163,True
1117,3,3228,True
1118,3,3236,True
1120,3,3281,True
1122,3,3284,True
1125,3,3299,True
1127,3,3307,True
1129,3,3317,True
1131,3,3318,True
1132,3,3325,True
1135,3,3365,True
1138,3,3380,True
1140,3,3384,True
1142,3,3386,True
1147,3,3453,True
1149,3,3470,True
1150,3,3493,True
1153,3,3520,True
1154,3,3524,True
1155,3,3565,True
1158,3,3630,True
1161,3,3639,True
1164,3,3658,True
1167,3,3716,True
1168,3,3744,True
1170,3,3745,True
1172,3,3772,True
1174,3,3785,True
1175,3,3786,True
1176,3,3790,True
1178,3,3818,True
1182,3,3844,True
1183,3,3853,True
1184,3,3870,True
1186,3,3879,True
1189,3,3950,True
1190,3,3951,True
1195,3,4047,True
1198,3,4083,True
1199,3,4193,True
1201,3,4212,True
1204,3,4229,True
1205,3,4238,True
1207,3,4251,True
1209,3,4290,True
1212,3,4328,True
1213,3,4338,True
1216,3,4452,True
1221,3,4513,True
1222,3,4532,True
1224,3,4536,True
1225,3,4577,True
1226,3,4613,True
1228,3,4684,True
1230,3,4689,True
1233,3,4788,True
1236,3,4893,True
1242,3,4992,True
1245,3,5077,True
1251,3,5237,True
1254,3,5330,True
1257,3,5401,True
1260,3,5451,True
1263,3,5472,True
1264,3,5497,True
1270,3,5685,True
1272,3,5699,True
1273,3,5701,True
1278,3,5896,True
1280,3,5959,True
1281,3,6016,True
1283,3,6040,True
1285,3,6255,True
1287,3,6469,True
1289,3,6545,True
1294,3,6646,True
1296,3,6650,True
1298,3,6667,True
1299,3,6678,True
1300,3,6692,True
1302,3,6703,True
1303,3,6733,True
1306,3,6901,True
1307,3,6911,True
1309,3,6980,True
1311,3,7027,True
1312,3,7084,True
1313,3,7090,True
1315,3,7262,True
1316,3,7264,True
1317,3,7296,True
1321,3,7457,True
1323,5,1,True
1327,5,22,True
1329,5,28,True
1330,5,30,True
1332,5,34,True
1334,5,43,True
